Action,Type,Pad,Code
MOVE FORWARD,0,,17
MOVE FORWARD,0,,200
MOVE FORWARD,3,0,0
MOVE BACK,0,,31
MOVE BACK,3,0,1
MOVE LEFT,0,,30
MOVE LEFT,3,0,2
MOVE RIGHT,0,,32
MOVE RIGHT,3,0,3
SPRINT,0,,42
SPRINT,1,0,3
JUMP,0,,57
JUMP,1,0,6
CROUCH,0,,29
CROUCH,1,0,2
LIGHT MOVE,0,,16
LIGHT MOVE,4,0,0
MAP,0,,15
MAP,1,0,8
GRABBING,5,,0
GRABBING,4,0,1
PUSH,5,,3
PUSH,2,0,0
PULL,5,,4
PULL,2,0,1
CAMERA UP,3,0,4
CAMERA DOWN,0,,208
CAMERA DOWN,3,0,5
CAMERA LEFT,0,,203
CAMERA LEFT,3,0,6
CAMERA RIGHT,0,,205
CAMERA RIGHT,3,0,7
UI UP,0,,17
UI UP,5,,3
UI UP,2,0,0
UI UP,3,0,0
UI DOWN,0,,31
UI DOWN,5,,4
UI DOWN,2,0,1
UI DOWN,3,0,1
UI LEFT,0,,30
UI LEFT,2,0,2
UI LEFT,3,0,2
UI RIGHT,0,,32
UI RIGHT,2,0,3
UI RIGHT,3,0,3
DECIDE,5,,0
DECIDE,1,0,6
CANCEL,0,,1
CANCEL,1,0,0
PAUSE,0,,1
PAUSE,1,0,0
